Date,Description,Amount (in $),Account Name,Transaction Type,Category,Subcategory,Hidden Transaction
Jun-06-2024,UMB NA,686,360 Performance Savings,Transfer,Transfers,Money transfer,No
Jun-05-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-325.58,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Jun-04-2024,INTERNET PAYMENT THANK YOU,325.58,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Jun-03-2024,DIRECT DEPOSIT VENMO CASHOUT (Cash),18.5,Fidelity Checking,Income,Income,"Self employment, gig income & online payment",No
Jun-03-2024,DIRECT DEPOSIT VENMO CASHOUT (Cash),78.5,Fidelity Checking,Income,Income,"Self employment, gig income & online payment",No
Jun-01-2024,TST* DUMPLING DAUGHTER,-63.74,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,"Restaurants, convenience & coffee",No
May-31-2024,MONTHLY INTEREST PAID,0.01,360 Performance Savings,Income,Income,Interest income,No
May-31-2024,OLD NAVY ON-LINE,-28.99,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
May-31-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-100,Fidelity Checking,Transfer,Transfers,Money transfer,No
May-31-2024,MONTHLY INTEREST PAID,50.41,360 Performance Savings,Income,Income,Interest income,No
May-31-2024,MONTHLY INTEREST PAID,3.61,360 Performance Savings,Income,Income,Interest income,No
May-30-2024,UMB NA,100,360 Performance Savings,Income,Income,"Self employment, gig income & online payment",No
May-29-2024,SP TRASHIE,-60,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
May-29-2024,ANCHA,-55,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,"Restaurants, convenience & coffee",No
May-28-2024,DIRECT DEPOSIT VENMO CASHOUT (Cash),37.3,Fidelity Checking,Income,Income,"Self employment, gig income & online payment",No
May-25-2024,Uniqlo USA LLC,-59.7,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
May-24-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-582.8,Fidelity Checking,Transfer,Transfers,Money transfer,No
May-23-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-582.8,Fidelity Checking,Transfer,Transfers,Money transfer,No
May-23-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1457.43,Fidelity Checking,Income,Income,Salary,No
May-23-2024,UMB NA,582.8,360 Performance Savings,Transfer,Transfers,Money transfer,No
